ExecutableID: 6251812952, SubmitTime: 5808266837, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 14,Total Latency: 1301.0529681408,delayed_hit: 0,forward_counter: 9,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5819894122, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 15,Total Latency: 1301.0529681408,delayed_hit: 0,forward_counter: 9,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5828471126, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 16,Total Latency: 1301.0529681408,delayed_hit: 0,forward_counter: 9,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251980656, SubmitTime: 5849932843, Latency to next edge for ExecutableID 6251980656: 144.5614409045333, , ,Number of cache hits: 16,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, Forwarded to edge 1, Row Number: 1 
ExecutableID: 6251812952, SubmitTime: 5908031374, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 17,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5918358457, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 18,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5928768535, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 19,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5928768538, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 20,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5937934856, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 21,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5987987362, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 22,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 5998596651, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 23,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 6008583852, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 24,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251812952, SubmitTime: 6018674448, , , Latency to next edge for ExecutableID 6251812952: 0,Number of cache hits: 25,Total Latency: 1445.6144090453333,delayed_hit: 0,forward_counter: 10,skipped_counter: 0, cost: 0.0,cost_counter: 14910.336882005333, ,  
ExecutableID: 6251980656, SubmitTime: 6033457284, Latency to next edge for ExecutableID 6251980656: 144.5614409045333, , ,Number of cache hits: 25,Total Latency: 1590.1758499498667,delayed_hit: 0,forward_counter: 11,skipped_counter: 0, cost: 4870.134999722666,cost_counter: 19780.471881728, Forwarded to edge 1, Row Number: 2 
ExecutableID: 6251980656, SubmitTime: 6114827224, , , Latency to next edge for ExecutableID 6251980656: 0,Number of cache hits: 26,Total Latency: 1590.1758499498667,delayed_hit: 0,forward_counter: 11,skipped_counter: 0, cost: 0.0,cost_counter: 19780.471881728, ,  
